Codice Analisi,Descrizione,Colore provetta,Synlab si/no,U.M.,METODO,Regola,,Importo
738,1-IDROSSIPIRENE Urine Inizio Turno,URINE I.T.,SÍ,µg/L,LC-MS,Area 'TOSSICOLOGIA',,"€ 31,13"
7174,"2,5 ESANDIONE LIBERO Urine Fine Turno",URINE F.T.,SÍ,mg/L,LC-MS,Area 'TOSSICOLOGIA',,"€ 20,31"
7173,"2,5 ESANDIONE LIBERO Urine Inizio Turno",URINE I.T.,SÍ,mg/L,LC-MS,Area 'TOSSICOLOGIA',,"€ 20,31"
855,21 Deossicortisolo (SYNLAB),GIALLA,SÍ,ng/L,LC-MS,Area 'SPECIALISTICA GRUPPO',,"€ 54,93"
856,3 METILISTIDINA Plasmatica (SYNLAB),VIOLA CONG.,SÍ,manca sul portale,LC-MS,Area 'SPECIALISTICA GRUPPO',,"€ 67,27"
8561,3 METILISTIDINA Urine (SYNLAB),URINE CONG.,SÍ,manca sul portale,LC-MS,Area 'SPECIALISTICA GRUPPO',,"€ 67,27"
2349,3-METOSSITIRAMINA LIBERA,VIOLA CONG.,SÍ, ng/L,LC-MS,Area 'SPECIALISTICA',,"€ 25,00"
267,A.C.E. (Angiotensin Converting Enzyme),GIALLA,SÍ,U/L,ENZIMATICO UV,Area 'ANALISI',,"€ 13,00"
8980,A.C.E. (Angiotensin Converting Enzyme) su Liquor (SYNLAB),LIQUOR CONG.,SÍ,U/L,ENZIMATICO,Area 'SPECIALISTICA GRUPPO',,"€ 62,90"
70219,A.L.A. Urine Fine Turno (C),URINE F.T.,SÍ,mg/g,CROMATOGRAFICO COLORIMETRICO,Area 'TOSSICOLOGIA',,"€ 27,63"
7029,A.L.A. Urine Inizio Turno (C),URINE I.T.,SÍ,mg/g,CROMATOGRAFICO COLORIMETRICO,Area 'TOSSICOLOGIA',,"€ 27,63"
671,Ac.Valproico (Depakin) (Dipropilacetico),ROSSA,SÍ,mg/L,IMMUNOTURBIDIMETRIA,Area 'ANALISI',,"€ 10,70"
6T19,Acacia (Acacia Longifoglia),GIALLA,SÍ,kU/L,CHEMILUMINESCENZA,Area 'ALLERGIE E INTOLLERANZE',,"€ 11,79"
6D70,Acarus Siro,GIALLA,SÍ,kU/L,CHEMILUMINESCENZA,Area 'ALLERGIE E INTOLLERANZE',,"€ 11,79"
6F313,Acciuga,GIALLA,SÍ,kU/L,CHEMILUMINESCENZA,Area 'ALLERGIE E INTOLLERANZE',,"€ 11,79"
6T1,Acero (Acer Saccharum),GIALLA,SÍ,kU/L,CHEMILUMINESCENZA,Area 'ALLERGIE E INTOLLERANZE',,"€ 11,79"
7610,ACETATO DI BUTILE Urine Fine Turno,URINE F.T.,SÍ,mg/L,GC,Area 'TOSSICOLOGIA',,"€ 14,20"
761,ACETATO DI BUTILE Urine Inizio Turno,URINE I.T.,SÍ,mg/L,GC,Area 'TOSSICOLOGIA',,"€ 14,20"
7310,ACETATO DI ETILE Urine Fine Turno,URINE F.T.,SÍ,mg/L,GC,Area 'TOSSICOLOGIA',,"€ 14,20"
731,ACETATO DI ETILE Urine Inizio Turno,URINE I.T.,SÍ,mg/L,GC,Area 'TOSSICOLOGIA',,"€ 14,20"
1118,ACETAZOLAMIDE (SYNLAB),GIALLA,SÍ,mg/L,HPLC,Area 'SPECIALISTICA GRUPPO',,"€ 50,67"
72919,ACETONE Urine Fine Turno,URINE F.T.,SÍ,mg/L,GC,Area 'TOSSICOLOGIA',,"€ 12,34"
7299,ACETONE Urine Inizio Turno,URINE I.T.,SÍ,mg/L,GC,Area 'TOSSICOLOGIA',,"€ 12,34"
6W18,Acetosa Minore (Rumex Acetoscella),GIALLA,SÍ,kU/L,CHEMILUMINESCENZA,Area 'ALLERGIE E INTOLLERANZE',,"€ 11,79"
288,Acidi Biliari,ROSSA,NO,,,Area 'ANALISI',,"€ 9,61"
540,ACIDI GRASSI A CATENA LUNGA E RAPPORTO OMEGA,GIALLA CONG.,SÍ,manca sul portale,GC,Area 'SPECIALISTICA GRUPPO',,"€ 67,49"
79983,"(SYNLAB)
ACIDI GRASSI A CATENA LUNGHISSIMA (VLCFA)",GIALLA CONG.,SÍ,,,Area 'SPECIALISTICA GRUPPO',,"€ 388,13"
,Acido docosaesaenoico (C22:0),,,mg/L,GC-MS,,,
,Acido tetracosanoico (C24:0),,,mg/L,GC-MS,,,
,Acido esacosanoico (C26:0),,,mg/L,GC-MS,,,
,C24 / C22,,,Ratio,GC-MS,,,
,C26 / C22,,,Ratio,GC-MS,,,
424,Acidi grassi non esterificati (SYNLAB),GIALLA CONG.,SÍ,µmol/L,ENZIMATICO,Area 'SPECIALISTICA GRUPPO',,"€ 26,98"
7199,ACIDI METILIPPURICI Urine Fine Turno,URINE F.T.,SÍ,g/g creatinina,HPLC,Area 'TOSSICOLOGIA',,"€ 10,38"
7109,ACIDI METILIPPURICI Urine Inizio Turno,URINE I.T.,SÍ,g/g creatinina,HPLC,Area 'TOSSICOLOGIA',,"€ 10,38"
79981,Acidi organici Urinari (SYNLAB),URINE CONG.,SÍ,manca sul portale,LC-MS,Area 'SPECIALISTICA GRUPPO',,"€ 229,00"
1633,ACIDO 2-BUTOSSIACETICO Urine Fine Turno,URINE F.T.,SÍ,mg/g creatinina,GC,Area 'TOSSICOLOGIA',,"€ 28,17"
1632,ACIDO 2-BUTOSSIACETICO Urine Inizio Turno,URINE I.T.,SÍ,mg/g creatinina,GC,Area 'TOSSICOLOGIA',,"€ 28,17"
1557,ACIDO 2-METOSSIACETICO Urine Fine Turno (SYNLAB),URINE F.T.,SÍ,mg/L,GC-MS,Area 'SPECIALISTICA GRUPPO',,"€ 9,61"
1556,ACIDO 2-METOSSIACETICO Urine Inizio Turno (SYNLAB),URINE I.T.,SÍ,mg/L,GC-MS,Area 'SPECIALISTICA GRUPPO',,"€ 9,61"
631,Acido 5 OH Indolacetico urine 24H,URINE 24 H ACIDIFICATE,SÍ,mg/24 h,HPLC,Area 'SPECIALISTICA',,"€ 15,40"
6312,Acido 5 OH Indolacetico urine 24H II camp.,URINE 24 H ACIDIFICATE,SÍ,mg/24 h,HPLC,Area 'SPECIALISTICA',,"€ 15,40"
860,Acido aminoadipico (SYNLAB),VERDE  CONG.,SÍ,manca sul portale,LC-MS,Area 'SPECIALISTICA GRUPPO',,"€ 67,27"
8601,Acido aminoadipico urinario (SYNLAB),URINE CONG.,SÍ,manca sul portale,HPLC,Area 'SPECIALISTICA GRUPPO',,"€ 67,27"
861,ACIDO ASPARTICO Plasmatico (SYNLAB),VIOLA CONG.,SÍ,manca sul portale,LC-MS,Area 'SPECIALISTICA GRUPPO',,"€ 67,27"
8611,ACIDO ASPARTICO Urinario (SYNLAB),URINE CONG.,SÍ,manca sul portale,LC-MS,Area 'SPECIALISTICA GRUPPO',,"€ 67,27"
393,ACIDO BETA IDROSSIBUTIRRICO (SYNLAB),GIALLA CONG. ,SÍ,nmol/L,ENZIMATICO,Area 'SPECIALISTICA GRUPPO',,"€ 54,93"
71299,ACIDO FENILGLIOSSILICO Urine Fine Turno (C),URINE F.T.,SÍ,mg/g creatinina,HPLC,Area 'TOSSICOLOGIA',,"€ 10,16"
7129,ACIDO FENILGLIOSSILICO Urine Inizio Turno (C),URINE I.T.,SÍ,mg/g creatinina,HPLC,Area 'TOSSICOLOGIA',,"€ 10,16"
8997,ACIDO FITANICO (SYNLAB),GIALLA,SÍ,mg/L,GC-MS,Area 'SPECIALISTICA GRUPPO',,"€ 127,55"
7280,ACIDO FORMICO Urine Fine Turno (C),URINE F.T.,SÍ,mg/gr creatinina,ENZIMATICO UV,Area 'TOSSICOLOGIA',,"€ 13,00"
728,ACIDO FORMICO Urine Inizio Turno (C),URINE I.T.,SÍ,mg/gr creatinina,ENZIMATICO UV,Area 'TOSSICOLOGIA',,"€ 13,00"
522,ACIDO GAMMA-AMMINOBUTIRRICO (GABA) Plasmatico (SYNLAB),VIOLA CONG.,SÍ,manca sul portale,LC-MS,Area 'SPECIALISTICA GRUPPO',,"€ 67,27"
862,ACIDO GLUTAMMICO Plasmatico (SYNLAB),VIOLA CONG.,SÍ,manca sul portale,LC-MS,Area 'SPECIALISTICA GRUPPO',,"€ 67,27"
8621,ACIDO GLUTAMMICO Urinario (SYNLAB),URINE CONG.,SÍ,manca sul portale,LC-MS,Area 'SPECIALISTICA GRUPPO',,"€ 67,27"
70991,ACIDO IPPURICO Urine Fine Turno (C),URINE F.T.,SÍ,g/g creatinina,HPLC,Area 'TOSSICOLOGIA',,"€ 10,38"
7099,ACIDO IPPURICO Urine Inizio Turno (C),URINE I.T.,SÍ,g/g creatinina,HPLC,Area 'TOSSICOLOGIA',,"€ 10,38"
1625,ACIDO MANDELICO + ACIDO FENILGLIOSSILICO Urine Fine Turno,URINE F.T.,SÍ,mg/g creatinina,HPLC,Area 'TOSSICOLOGIA',,"€ 20,21"
1624,"
ACIDO MANDELICO + ACIDO FENILGLIOSSILICO Urine Inizio Turno",URINE I.T.,SÍ,mg/g creatinina,HPLC,Area 'TOSSICOLOGIA',,"€ 20,21"
71119,ACIDO MANDELICO Urine Fine Turno (C),URINE F.T.,SÍ,mg/g creatinina,HPLC,Area 'TOSSICOLOGIA',,"€ 10,16"
7119,ACIDO MANDELICO Urine Inizio Turno (C),URINE I.T.,SÍ,mg/g creatinina,HPLC,Area 'TOSSICOLOGIA',,"€ 10,16"
1064,Acido Metil Malonico (SYNLAB),GIALLA,SÍ,microg/L,GC-MS,Area 'SPECIALISTICA GRUPPO',,"€ 127,55"
555,ACIDO MICOFENOLICO (MICOFENOLATO),GIALLA,SÍ,mg/L,LC-MS,Area 'SPECIALISTICA',,"€ 25,00"
1123,Acido Omogentisico (SYNLAB),URINE,SÍ,manca sul portale,LC-MS,Area 'SPECIALISTICA GRUPPO',,"€ 134,97"
6330,Acido Omovanillico urine 24H,URINE 24 H ACIDIFICATE,SÍ,mg/24 h,HPLC,Area 'SPECIALISTICA',,"€ 16,49"
1273,ACIDO S-FENILMERCAPTURICO Urine Fine Turno,URINE F.T.,SÍ,µg/g creatinina,LC-MS,Area 'TOSSICOLOGIA',,"€ 22,50"
6309,ACIDO S-FENILMERCAPTURICO Urine Inizio Turno,URINE I.T.,SÍ,µg/g creatinina,LC-MS,Area 'TOSSICOLOGIA',,"€ 22,50"
7960,"ACIDO TRANS, TRANS-MUCONICO Urine Fine Turno (C)",URINE F.T.,SÍ,µg/g creatinina,LC-MS,Area 'TOSSICOLOGIA',,"€ 25,89"
796,"ACIDO TRANS,TRANS-MUCONICO Urine Inizio Turno (C)",URINE I.T.,SÍ,µg/g creatinina,LC-MS,Area 'TOSSICOLOGIA',,"€ 25,89"
707,ACIDO TRICLOROACETICO (ATA) - (T.C.A.) Urine Inizio Turno,URINE I.T.,SÍ,mg/L,GC,Area 'TOSSICOLOGIA',,"€ 8,41"
7070,ACIDO TRICLOROACETICO (ATA)- (T.C.A.) Urine Fine Turno,URINE F.T.,SÍ,mg/L,GC,Area 'TOSSICOLOGIA',,"€ 8,41"
629,Acido Vanilmandelico urine 24H,URINE 24 H ACIDIFICATE,SÍ,mg/24 h,HPLC,Area 'SPECIALISTICA',,"€ 22,50"
7972,ACRILONITRILE Urine Fine Turno,URINE F.T.,SÍ,mg/L,GC ,Area 'TOSSICOLOGIA',,"€ 29,60"
7971,ACRILONITRILE Urine Inizio Turno,URINE I.T.,SÍ,mg/L,GC ,Area 'TOSSICOLOGIA',,"€ 29,60"
640,ACTH,,NO,,CHEMILUMINESCENZA,Area 'ANALISI',,"€ 20,21"
B8967,Actinomiceti Esame Colturale,ESPETTORATO - PUS - MATERIALE BIOPTICO - TAMPONE DA ASCESSO - LIQUIDI CAVITARI,SÍ,/,COLTURALE,Area 'MICROBIOLOGIA',,"€ 11,79"
370,Adenosina Deaminasi (SYNLAB),GIALLA,SÍ,nmol/min/mL,EIA,Area 'SPECIALISTICA GRUPPO',,"€ 127,55"
Codice Analisi,Descrizione,,,,,Regola,,Importo
587,Adenovirus ricerca antigenica,FECI,SÍ,/,IMMUNOCROMATOGRAFIA,Area 'MICROBIOLOGIA',,"€ 17,80"
5872,Adenovirus ricerca antigenica II campione,FECI,SÍ,/,IMMUNOCROMATOGRAFIA,Area 'MICROBIOLOGIA',,"€ 17,80"
5873,Adenovirus ricerca antigenica III campione,FECI,SÍ,/,IMMUNOCROMATOGRAFIA,Area 'MICROBIOLOGIA',,"€ 17,80"
1316,ADIPONECTINA (SYNLAB),GIALLA CONG.,SÍ,mg/L,EIA,Area 'SPECIALISTICA',,"€ 61,92"
7870,ADRENALINA - NORADRENALINA plasmatica,VIOLA CONG.,SÍ,pg/mL,HPLC,Area 'SPECIALISTICA',,"€ 24,90"
031,Agglutinine a Frigore,ROSSA senza anticoagulante,SÍ,manca sul portale,EMOAGGLUTINAZIONE IN PROVETTA,Area 'ANALISI',,"€ 30,79"
6F47,Aglio,GIALLA,SÍ,kU/L,CHEMILUMINESCENZA,Area 'ALLERGIE E INTOLLERANZE',,"€ 11,79"
6G9,Agrostide (Agrostis gigantea),GIALLA,SÍ,kU/L,CHEMILUMINESCENZA,Area 'ALLERGIE E INTOLLERANZE',,"€ 11,79"
822,ALANINA Plasmatica (SYNLAB),VIOLA CONG.,SÍ,manca sul portale,LC-MS,Area 'SPECIALISTICA GRUPPO',,"€ 67,27"
8221,ALANINA Urine (SYNLAB),URINE CONG.,SÍ,manca sul portale,LC-MS,Area 'SPECIALISTICA GRUPPO',,"€ 67,27"
6F237,Albicocca,GIALLA,SÍ,kU/L,CHEMILUMINESCENZA,Area 'ALLERGIE E INTOLLERANZE',,"€ 11,79"
6F1,Albume,GIALLA,SÍ,kU/L,CHEMILUMINESCENZA,Area 'ALLERGIE E INTOLLERANZE',,"€ 11,79"
2602,Albuminemia,ROSSA,NO,,,Area 'ANALISI',,"€ 3,06"
7320,ALCOOL BUTILICO Urine Fine Turno,URINE F.T.,SÍ,mg/L,GC ,Area 'TOSSICOLOGIA',,"€ 14,20"
732,ALCOOL BUTILICO Urine Inizio Turno,URINE I.T.,SÍ,mg/L,GC ,Area 'TOSSICOLOGIA',,"€ 14,20"
73211,ALCOOL ISOBUTILICO Urine Fine Turno,URINE F.T.,SÍ,mg/L,GC ,Area 'TOSSICOLOGIA',,"€ 14,20"
73210,ALCOOL ISOBUTILICO Urine Inizio Turno,URINE I.T.,SÍ,mg/L,GC ,Area 'TOSSICOLOGIA',,"€ 14,20"
303,Aldolasi,GIALLA/VERDE/VIOLA,SÍ,U/L,ENZIMATICO UV,Area 'ANALISI',,"€ 4,80"
625,Aldosterone 24h,,,,,Area 'ANALISI',,"€ 18,24"
6220,Aldosterone in Clinostatismo,,,,,Area 'ANALISI',,"€ 18,24"
622,Aldosterone in Ortostatismo,,,,,Area 'ANALISI',,"€ 18,24"
1151,Alfa 1 Antitripsina feci (SYNLAB),FECI,SÍ,mg/L,EIA,Area 'SPECIALISTICA GRUPPO',,"€ 28,17"
651,Alfa 1 Fetoproteina,GIALLA,SÍ,kUI/L,CHEMILUMINESCENZA,Area 'ANALISI',,"€ 9,61"
65100,Alfa 1 Fetoproteina (Liq. Amniotico),LIQUIDO AMNIOTICO CONGELATO,SÍ,mg/L,CHEMILUMINESCENZA,Area 'ANALISI',,"€ 10,16"
525,Alfa 1 Microglobulina,URINE DEL MATTINO,SÍ,mg/L,NEFELOMETRIA,Area 'ANALISI',,"€ 13,54"
1311,Alfa 2 Macroglobulina,GIALLA,SÍ,g/L,IMMUNONEFELOMETRIA,Area 'ANALISI',,"€ 17,47"
6K87,Alfa amilasi (fungina),GIALLA,SÍ,kU/L,CHEMILUMINESCENZA,Area 'ALLERGIE E INTOLLERANZE',,"€ 11,79"
6F76,Alfa Latto-albumina,GIALLA,SÍ,kU/L,CHEMILUMINESCENZA,Area 'ALLERGIE E INTOLLERANZE',,"€ 11,79"
130,Alfa-1 Antitripsina,GIALLA,SÍ,g/L,IMMUNONEFELOMETRIA,Area 'ANALISI',,"€ 7,76"
105,Alfa-1-Glicoproteina (Mucoproteina),GIALLA,SÍ,g/L,IMMUNOTURBIDIMETRIA,Area 'ANALISI',,"€ 9,51"
6F278,Alloro,GIALLA,SÍ,kU/L,CHEMILUMINESCENZA,Area 'ALLERGIE E INTOLLERANZE',,"€ 11,79"
7191,ALLUMINIO Sierico,BLUE METAL FREE,SÍ,µg/L,ASSORBIMENTO ATOMICO (AA),Area 'TOSSICOLOGIA',,"€ 14,20"
7190,ALLUMINIO Urine Fine Turno,URINE F.T.,SÍ,µg/g creatinina,ASSORBIMENTO ATOMICO (AA),Area 'TOSSICOLOGIA',,"€ 14,20"
719,ALLUMINIO Urine Inizio Turno,URINE I.T.,SÍ,µg/g creatinina,ASSORBIMENTO ATOMICO (AA),Area 'TOSSICOLOGIA',,"€ 14,20"
2901,ALT (GPT),ROSSA,NO,,,Area 'ANALISI',,"€ 1,75"
5M229,Alt a1 Alternaria alternata,GIALLA,SÍ,kUA/L,IMMUNOCAP,Area 'ALLERGIE E INTOLLERANZE',,"€ 48,05"
6M6,Alternaria alternata (tenuis),GIALLA,SÍ,kU/L,CHEMILUMINESCENZA,Area 'ALLERGIE E INTOLLERANZE',,"€ 11,79"
6W14,Amaranto (Amaranthus retroflexus),,SÍ,kU/L,CHEMILUMINESCENZA,Area 'ALLERGIE E INTOLLERANZE',,"€ 11,79"
5W230,Amb a1 Ambrosia elatior,GIALLA,SÍ,kUA/L,IMMUNOCAP,Area 'ALLERGIE E INTOLLERANZE',,"€ 48,05"
6W1,Ambrosia (Ambrosia artemisifolia),GIALLA,SÍ,kU/L,CHEMILUMINESCENZA,Area 'ALLERGIE E INTOLLERANZE',,"€ 11,79"
6W2,Ambrosia Occidentale (Ambrosia psilostachya),GIALLA,SÍ,kU/L,CHEMILUMINESCENZA,Area 'ALLERGIE E INTOLLERANZE',,"€ 11,79"
6W3,Ambrosia Trifida (Ambrosia Gigante),GIALLA,SÍ,kU/L,CHEMILUMINESCENZA,Area 'ALLERGIE E INTOLLERANZE',,"€ 11,79"
6353,Amfetamine / Metamfetamine / MDMA (Ecsatsy) test di conferma su urine,URINE (CONGELATE SE L'INVIO È DOPO LE 24 H),SÍ,ng/mL,LC-MS-MS,Area 'TOSSICOLOGIA',,"€ 120,12"
6337,Amfetamine/Metamfetamine matrice urinaria,URINE,SÍ,ng/mL,EMIT,Area 'TOSSICOLOGIA',,"€ 12,89"
1080,Amfetamine/Metamfetamine/MDMA ((Ecstasy) matrice pilifera,MATRICE PILIFERA,SÍ,ng/mg,LC-MS-MS,Area 'TOSSICOLOGIA',,"€ 141,96"
453,AMH Anti Mullerian Hormone,GIALLA,NO,ng/mL,CHEMILUMINESCENZA,Area 'ANALISI',,"€ 67,49"
347,Amicacina (SYNLAB),GIALLA CONG.,SÍ,mg/L,KIMS,Area 'SPECIALISTICA GRUPPO',,"€ 32,10"
310,Amilasemia (Alfa-Amilasi),ROSSA,NO,,,Area 'ANALISI',,"€ 3,06"
307,Amilasi Isoenzimi,ROSSA,NO,U/L,CALCOLO DERIVATO,Area 'SPECIALISTICA',,"€ 44,89"
3100,Amilasi Pancreatica,ROSSA,NO,,,Area 'ANALISI',,"€ 7,32"
311,Amilasuria,URINE 24 H,SÍ,U/24h,ENZIMATICO IFCC 37°C,Area 'ANALISI',,"€ 3,06"
574,AMILOIDE A,GIALLA,SÍ,mg/L,NEFELOMETRIA,Area 'SPECIALISTICA',,"€ 13,54"
7996,AMINOACIDI Plasma (SYNLAB),VIOLA CONG.,SÍ,manca sul portale,LC-MS,Area 'SPECIALISTICA GRUPPO',,"€ 269,40"
79960,AMINOACIDI Urine (SYNLAB),URINE CONG.,SÍ,manca sul portale,LC-MS,Area 'SPECIALISTICA GRUPPO',,"€ 269,40"
6250,Amiodarone e metabolita (SYNLAB),GIALLA,SÍ,mg/L,LC-MS,Area 'SPECIALISTICA GRUPPO',,"€ 127,55"
842,Amitriptilina + Nortriptilina (SYNLAB),GIALLA,SÍ,µg/L,LC-MS,Area 'SPECIALISTICA GRUPPO',,"€ 127,55"
7400,AMMINE AROMATICHE Urine Fine Turno,URINE F.T.,SÍ,mg/L,CROMATOGRAFICO COLORIMETRICO,Area 'TOSSICOLOGIA',,"€ 37,35"
740,AMMINE AROMATICHE Urine Inizio Turno,URINE I.T.,SÍ,mg/L,CROMATOGRAFICO COLORIMETRICO,Area 'TOSSICOLOGIA',,"€ 37,35"
292,Ammoniemia,VIOLA CONG.,SÍ,µg/dL,ENZIMATICO,Area 'ANALISI',,"€ 8,41"
6C6,Amoxicillina IgE,GIALLA,SÍ,kU/L,CHEMILUMINESCENZA,Area 'ALLERGIE E INTOLLERANZE',,"€ 11,79"
6C5,Ampicillina IgE,GIALLA,SÍ,kU/L,CHEMILUMINESCENZA,Area 'ALLERGIE E INTOLLERANZE',,"€ 11,79"
5F443,Ana o3 Anacardium occidentale,GIALLA,SÍ,kUA/L,IMMUNOCAP,Area 'ALLERGIE E INTOLLERANZE',,"€ 48,05"
1237,ANA TEST Quant. (titolazione 1),non c'è su vademecum,,,,Area 'ANALISI',,"€ 10,16"
1238,ANA TEST Quant. (titolazione 2),non c'è su vademecum,,,,Area 'ANALISI',,"€ 8,95"
6F202,Anacardia,GIALLA,SÍ,kU/L,CHEMILUMINESCENZA,Area 'ALLERGIE E INTOLLERANZE',,"€ 11,79"
8370,Analisi mirata di mutazione familiare,VIOLA,SÍ,manca sul portale,PCR E SEQUENZIAMENTO DIRETTO,Area 'BIOLOGIA MOLECOLARE',,"€ 87,36"
6F210,Ananas,GIALLA,SÍ,kU/L,CHEMILUMINESCENZA,Area 'ALLERGIE E INTOLLERANZE',,"€ 11,79"
6375,ANDROSTENEDIOLO GLUCORONIDE,GIALLA CONG.,SÍ,µg/L,ELISA,Area 'ANALISI',,"€ 30,58"
6241,Angiotensina II (SYNLAB),VIOLA CONG.,SÍ,ng/L,CLIA,Area 'SPECIALISTICA GRUPPO',,"€ 68,69"
6F329,Anguria,GIALLA,SÍ,kU/L,CHEMILUMINESCENZA,Area 'ALLERGIE E INTOLLERANZE',,"€ 11,79"
6F271,Anice,GIALLA,SÍ,kU/L,CHEMILUMINESCENZA,Area 'ALLERGIE E INTOLLERANZE',,"€ 11,79"
6P4,Anisakis larvae (simplex),GIALLA,SÍ,kU/L,CHEMILUMINESCENZA,Area 'ALLERGIE E INTOLLERANZE',,"€ 11,79"
1126,Annexina V IgG (SYNLAB),GIALLA,SÍ,manca sul portale,ELETTROIMMUNODIFFUSIONE,Area 'SPECIALISTICA GRUPPO',,"€ 33,75"
IN10285,ANO - CONDILOMI,FISSATO IN FORMALINA,SÍ,,INCLUSIONE IN PARAFFINA E COLORAZIONE CON E-E,Area 'ANATOMIA PATOLOGICA',,"€ 65,20"
IN10000,ANO - EMORROIDECTOMIA/RESEZ RETTALE STARR,FISSATO IN FORMALINA,SÍ,,INCLUSIONE IN PARAFFINA E COLORAZIONE CON E-E,Area 'ANATOMIA PATOLOGICA',,"€ 65,20"
Codice Analisi,Descrizione,,,,,Regola,,Importo
IN10027,ANO - FISTOLA ANALE,FISSATO IN FORMALINA,SÍ,,INCLUSIONE IN PARAFFINA E COLORAZIONE CON E-E,Area 'ANATOMIA PATOLOGICA',,"€ 65,20"
IN10316,ANO - NEWPAP - DNA:  MONOSTRATO + HPV HIGH RISK,PRESERVCYT,SÍ,,CITOLOGIA + BD ONCLARITY,Area 'ANATOMIA PATOLOGICA',,"€ 85,00"
IN10317,ANO – PAP TEST MONOSTRATO,PRESERVCYT,SÍ,,COLORAZIONE CON PAPANICOLAOU,Area 'ANATOMIA PATOLOGICA',,"€ 29,50"
IN10001,ANO - POLIPECTOMIA ENDOSCOPICA (SING.),FISSATO IN FORMALINA,SÍ,,INCLUSIONE IN PARAFFINA E COLORAZIONE CON E-E,Area 'ANATOMIA PATOLOGICA',,"€ 40,81"
IN10287,ANO - POLIPO ANALE/RETTALE,FISSATO IN FORMALINA,SÍ,,INCLUSIONE IN PARAFFINA E COLORAZIONE CON E-E,Area 'ANATOMIA PATOLOGICA',,"€ 65,20"
IN10034,ANO - RAGADE ANALE,FISSATO IN FORMALINA,SÍ,,INCLUSIONE IN PARAFFINA E COLORAZIONE CON E-E,Area 'ANATOMIA PATOLOGICA',,"€ 65,20"
8717,Antiaging Check DNA,TAMPONE CAVO ORALE - SANGUE INTERO IN EDTA - KIT SALIVA PER TEST GENETICI,SÍ,manca sul portale,MASS-ARRAY,Area 'NUTRIZIONE',,"€ 187,20"
1946,Antiaging Check UP,2 PROV.SIERO (TAPPO BLU) + 1 PROV.SIERO CONGELATO + 1 PROV.SIERO METAL FREE + 1 PROV.PLASMA CITRATATO (TAPPO VERDE ACQUA),SÍ,manca sul portale,manca sul portale,Area 'NUTRIZIONE',,"€ 208,00"
B5035,Antibiogramma Campylobacter,TAMPONI VARI,NO,,,Area 'MICROBIOLOGIA',,"€ 20,75"
5840,Antibiogramma per Micoplasma,TAMPONE A SECCO,NO,,,Area 'MICROBIOLOGIA',,"€ 6,55"
58402,Antibiogramma per Micoplasma 2,TAMPONE A SECCO,NO,,,Area 'MICROBIOLOGIA',,"€ 6,55"
1225,ANTICORPI  ANTI CARDIOLIPINA IgA,GIALLA,SÍ,kU/L,MULTIPLEX FLUSSO IMMUNOMETRICO (MFI),Area 'SPECIALISTICA',,"€ 12,89"
1154,ANTICORPI ANTI ADENOVIRUS IgG,GIALLA,SÍ,NTU,ELISA,Area 'ANALISI',,"€ 11,79"
1155,ANTICORPI ANTI ADENOVIRUS IgM,GIALLA,SÍ,NTU,ELISA,Area 'ANALISI',,"€ 11,79"
